file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;74.490608;-n1 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;38.427086;-n2 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;20.440528;-n4 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;14.341632;-n6 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;11.285583;-n8 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;9.567861;-n10 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;8.367993;-n12 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;7.478677;-n14 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;6.869771;-n16 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;6.339684;-n18 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;5.954760;-n20 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;5.671611;-n22 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;5.372639;-n24 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;5.090381;-n26 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.976253;-n28 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.792314;-n30 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.508559;-n32 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.501976;-n34 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.317237;-n36 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.237986;-n38 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.089655;-n40 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;4.027431;-n42 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;3.900001;-n44 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;3.794238;-n46 -N2 THIN -k10000 -m:core
file;program;mode;size;step;time_taken;info
miofile_10000;mpi_openmp;1;10000;10;3.716535;-n48 -N2 THIN -k10000 -m:core
