file;program;mode;size;step;time_taken;info
miofile;mpi_openmp;0;10000;3;26.728649;-n1 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;339.171929;-n1 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;14.517494;-n2 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;172.422764;-n2 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;8.634790;-n4 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;88.926819;-n4 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;6.285735;-n6 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;61.031196;-n6 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;5.291878;-n8 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;47.099334;-n8 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;4.745165;-n10 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;39.100894;-n10 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;4.315790;-n12 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;33.573430;-n12 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.996712;-n14 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;29.515017;-n14 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.760293;-n16 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;26.757053;-n16 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.569790;-n18 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;24.346634;-n18 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.437128;-n20 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;22.480345;-n20 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.353737;-n22 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;21.079073;-n22 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.257261;-n24 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;19.833723;-n24 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.147061;-n26 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;18.729584;-n26 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.101647;-n28 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;17.711061;-n28 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;3.055603;-n30 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;16.811218;-n30 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.996420;-n32 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;16.146718;-n32 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.942176;-n34 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;15.343007;-n34 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.940335;-n36 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;14.705127;-n36 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.882254;-n38 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;14.384585;-n38 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.877387;-n40 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;13.972953;-n40 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.850013;-n42 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;13.604622;-n42 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.840938;-n44 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;13.237529;-n44 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.798146;-n46 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;13.019483;-n46 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;0;10000;3;2.774430;-n48 -N2 THIN -k10000 -m:core
miofile;mpi_openmp;1;10000;50;12.726271;-n48 -N2 THIN -k10000 -m:core
