file;program;mode;size;step;time_taken;info
playground_10000;mpi_openmp;0;10000;5;39.816962;-n1 -N3 THIN -k10000 -m:socket
file;program;mode;size;step;time_taken;info
playground_14143;mpi_openmp;0;14143;5;42.236612;-n2 -N3 THIN -k14143 -m:socket
file;program;mode;size;step;time_taken;info
playground_17321;mpi_openmp;0;17321;5;44.834729;-n3 -N3 THIN -k17321 -m:socket
file;program;mode;size;step;time_taken;info
playground_20000;mpi_openmp;0;20000;5;47.523515;-n4 -N3 THIN -k20000 -m:socket
file;program;mode;size;step;time_taken;info
playground_22361;mpi_openmp;0;22361;5;49.497172;-n5 -N3 THIN -k22361 -m:socket
file;program;mode;size;step;time_taken;info
playground_24495;mpi_openmp;0;24495;5;51.661461;-n6 -N3 THIN -k24495 -m:socket
