file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;1403.527732;-n1 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;708.544657;-n2 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;366.746767;-n4 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;252.511485;-n6 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;195.338075;-n8 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;160.815116;-n10 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;137.717743;-n12 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;121.422264;-n14 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;109.115039;-n16 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;99.240432;-n18 -N2 THIN -k20000 -m:core
file;program;mode;size;step;time_taken;info
miofile_20000;mpi_openmp;1;20000;50;91.447152;-n20 -N2 THIN -k20000 -m:core
